NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;104897.048;104897.048
1308160;1024;50;105218.943;105218.943
1308160;1536;50;105128.130;105128.130
1308160;512;100;104949.463;104949.463
1308160;1024;100;104989.381;104989.381
1308160;1536;100;105617.820;105617.820
1308160;512;150;113093.462;113093.462
1308160;1024;150;107893.729;107893.729
1308160;1536;150;107100.461;107100.461
1962240;512;50;107277.949;107277.949
1962240;1024;50;108778.485;108778.485
1962240;1536;50;107512.214;107512.214
1962240;512;100;107514.269;107514.269
1962240;1024;100;106810.944;106810.944
1962240;1536;100;106030.162;106030.162
1962240;512;150;105798.882;105798.882
1962240;1024;150;106945.425;106945.425
1962240;1536;150;106822.163;106822.163
2616320;512;50;106779.004;106779.004
2616320;1024;50;107575.652;107575.652
2616320;1536;50;106036.302;106036.302
2616320;512;100;107054.248;107054.248
2616320;1024;100;105816.587;105816.587
2616320;1536;100;106644.104;106644.104
2616320;512;150;107902.268;107902.268
2616320;1024;150;107158.882;107158.882
2616320;1536;150;107308.942;107308.942
