NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;40565.905;40565.905
1308160;1024;50;45468.877;45468.877
1308160;1536;50;43429.620;43429.620
1308160;512;100;41452.646;41452.646
1308160;1024;100;45496.288;45496.288
1308160;1536;100;43010.801;43010.801
1308160;512;150;40577.261;40577.261
1308160;1024;150;45168.414;45168.414
1308160;1536;150;43005.946;43005.946
1962240;512;50;47542.418;47542.418
1962240;1024;50;43347.400;43347.400
1962240;1536;50;40356.587;40356.587
1962240;512;100;47111.124;47111.124
1962240;1024;100;42210.486;42210.486
1962240;1536;100;49672.925;49672.925
1962240;512;150;46850.060;46850.060
1962240;1024;150;41845.939;41845.939
1962240;1536;150;49645.468;49645.468
2616320;512;50;43283.860;43283.860
2616320;1024;50;48421.411;48421.411
2616320;1536;50;47773.894;47773.894
2616320;512;100;43736.058;43736.058
2616320;1024;100;48848.303;48848.303
2616320;1536;100;47539.532;47539.532
2616320;512;150;43308.420;43308.420
2616320;1024;150;48529.235;48529.235
2616320;1536;150;49454.144;49454.144
