NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;168594.888;168594.888
1308160;512;100;167592.698;167592.698
1308160;512;150;169341.122;169341.122
1308160;512;200;168553.871;168553.871
1308160;512;250;167712.028;167712.028
1308160;1024;50;170692.968;170692.968
1308160;1024;100;170200.079;170200.079
1308160;1024;150;171188.122;171188.122
1308160;1024;200;168928.283;168928.283
1308160;1024;250;170806.451;170806.451
1308160;1536;50;306574.510;306574.510
1308160;1536;100;402161.312;402161.312
1308160;1536;150;257438.450;257438.450
1308160;1536;200;162290.484;162290.484
1308160;1536;250;162825.410;162825.410
1308160;2048;50;163132.153;163132.153
1308160;2048;100;163067.713;163067.713
1308160;2048;150;162994.265;162994.265
1308160;2048;200;164598.775;164598.775
1308160;2048;250;164074.334;164074.334
1308160;2560;50;162080.887;162080.887
1308160;2560;100;163676.746;163676.746
1308160;2560;150;169802.313;169802.313
1308160;2560;200;164200.131;164200.131
1308160;2560;250;164141.458;164141.458
1962240;512;50;167475.431;167475.431
1962240;512;100;164150.858;164150.858
1962240;512;150;166256.201;166256.201
1962240;512;200;163585.095;163585.095
1962240;512;250;161491.721;161491.721
1962240;1024;50;160914.073;160914.073
1962240;1024;100;160852.544;160852.544
1962240;1024;150;160592.376;160592.376
1962240;1024;200;160660.126;160660.126
1962240;1024;250;161051.809;161051.809
1962240;1536;50;161142.813;161142.813
1962240;1536;100;160287.335;160287.335
1962240;1536;150;160707.219;160707.219
1962240;1536;200;160698.462;160698.462
1962240;1536;250;161233.124;161233.124
1962240;2048;50;161243.006;161243.006
1962240;2048;100;160713.166;160713.166
1962240;2048;150;160662.073;160662.073
1962240;2048;200;160740.680;160740.680
1962240;2048;250;161263.058;161263.058
1962240;2560;50;160934.239;160934.239
1962240;2560;100;161372.000;161372.000
1962240;2560;150;162198.686;162198.686
1962240;2560;200;162399.032;162399.032
1962240;2560;250;162925.024;162925.024
2616320;512;50;161127.256;161127.256
2616320;512;100;160480.927;160480.927
2616320;512;150;160237.775;160237.775
2616320;512;200;160371.288;160371.288
2616320;512;250;160215.097;160215.097
2616320;1024;50;160225.470;160225.470
2616320;1024;100;159960.527;159960.527
2616320;1024;150;159671.252;159671.252
2616320;1024;200;160650.685;160650.685
2616320;1024;250;160756.765;160756.765
2616320;1536;50;160655.642;160655.642
2616320;1536;100;161192.865;161192.865
2616320;1536;150;163261.799;163261.799
2616320;1536;200;160988.600;160988.600
2616320;1536;250;163469.830;163469.830
2616320;2048;50;174604.632;174604.632
2616320;2048;100;177199.034;177199.034
2616320;2048;150;162587.537;162587.537
2616320;2048;200;168328.694;168328.694
2616320;2048;250;173401.613;173401.613
2616320;2560;50;169979.341;169979.341
2616320;2560;100;170309.209;170309.209
2616320;2560;150;162143.152;162143.152
2616320;2560;200;163519.415;163519.415
2616320;2560;250;165669.734;165669.734
3270400;512;50;167065.853;167065.853
3270400;512;100;166672.387;166672.387
3270400;512;150;166741.842;166741.842
3270400;512;200;165671.255;165671.255
3270400;512;250;165673.203;165673.203
3270400;1024;50;166785.463;166785.463
3270400;1024;100;171112.251;171112.251
3270400;1024;150;164296.684;164296.684
3270400;1024;200;166530.401;166530.401
3270400;1024;250;162585.653;162585.653
3270400;1536;50;167229.855;167229.855
3270400;1536;100;167334.783;167334.783
3270400;1536;150;162823.924;162823.924
3270400;1536;200;166773.353;166773.353
3270400;1536;250;161468.180;161468.180
3270400;2048;50;159652.376;159652.376
3270400;2048;100;159982.581;159982.581
3270400;2048;150;160118.262;160118.262
3270400;2048;200;160252.945;160252.945
3270400;2048;250;160363.720;160363.720
3270400;2560;50;160963.021;160963.021
3270400;2560;100;161496.200;161496.200
3270400;2560;150;163788.111;163788.111
3270400;2560;200;163213.283;163213.283
3270400;2560;250;164942.845;164942.845
3924480;512;50;170087.215;170087.215
3924480;512;100;167726.564;167726.564
3924480;512;150;166380.470;166380.470
3924480;512;200;162412.082;162412.082
3924480;512;250;165913.277;165913.277
3924480;1024;50;165734.629;165734.629
3924480;1024;100;163153.635;163153.635
3924480;1024;150;164182.910;164182.910
3924480;1024;200;169256.027;169256.027
3924480;1024;250;166715.462;166715.462
3924480;1536;50;165605.850;165605.850
3924480;1536;100;167494.895;167494.895
3924480;1536;150;164746.275;164746.275
3924480;1536;200;168020.247;168020.247
3924480;1536;250;165724.256;165724.256
3924480;2048;50;167476.477;167476.477
3924480;2048;100;169016.008;169016.008
3924480;2048;150;169671.841;169671.841
3924480;2048;200;168782.632;168782.632
3924480;2048;250;171532.772;171532.772
3924480;2560;50;166868.457;166868.457
3924480;2560;100;167569.294;167569.294
3924480;2560;150;173959.342;173959.342
3924480;2560;200;167322.401;167322.401
3924480;2560;250;166675.111;166675.111
