GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;211;1;32478;0;0;0
1024.0;50.0;1308160.0;true;211;1;36203;0;0;0
1536.0;50.0;1308160.0;true;211;1;42293;0;0;0
512.0;100.0;1308160.0;true;211;1;32478;0;0;0
1024.0;100.0;1308160.0;true;211;1;36203;0;0;0
1536.0;100.0;1308160.0;true;211;1;42293;0;0;0
512.0;150.0;1308160.0;true;211;1;32478;0;0;0
1024.0;150.0;1308160.0;true;211;1;36203;0;0;0
1536.0;150.0;1308160.0;true;211;1;42293;0;0;0
512.0;50.0;1962240.0;true;211;1;36138;0;0;0
1024.0;50.0;1962240.0;true;211;1;39863;0;0;0
1536.0;50.0;1962240.0;true;211;1;45953;0;0;0
512.0;100.0;1962240.0;true;211;1;36138;0;0;0
1024.0;100.0;1962240.0;true;211;1;39863;0;0;0
1536.0;100.0;1962240.0;true;211;1;45953;0;0;0
512.0;150.0;1962240.0;true;211;1;36138;0;0;0
1024.0;150.0;1962240.0;true;211;1;39863;0;0;0
1536.0;150.0;1962240.0;true;211;1;45953;0;0;0
512.0;50.0;2616320.0;true;211;1;39793;0;0;0
1024.0;50.0;2616320.0;true;211;1;43518;0;0;0
1536.0;50.0;2616320.0;true;211;1;49608;0;0;0
512.0;100.0;2616320.0;true;211;1;39793;0;0;0
1024.0;100.0;2616320.0;true;211;1;43518;0;0;0
1536.0;100.0;2616320.0;true;211;1;49608;0;0;0
512.0;150.0;2616320.0;true;211;1;39793;0;0;0
1024.0;150.0;2616320.0;true;211;1;43518;0;0;0
1536.0;150.0;2616320.0;true;211;1;49608;0;0;0
