GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;201;2;11960;0;0;0
1024.0;50.0;1308160.0;true;201;2;13667;0;0;0
1536.0;50.0;1308160.0;true;201;2;16875;0;0;0
2048.0;50.0;1308160.0;true;201;2;21936;0;0;0
2560.0;50.0;1308160.0;true;201;2;28878;0;0;0
512.0;100.0;1308160.0;true;201;2;11960;0;0;0
1024.0;100.0;1308160.0;true;201;2;13667;0;0;0
1536.0;100.0;1308160.0;true;201;2;16875;0;0;0
2048.0;100.0;1308160.0;true;201;2;21936;0;0;0
2560.0;100.0;1308160.0;true;201;2;28878;0;0;0
512.0;150.0;1308160.0;true;201;2;11960;0;0;0
1024.0;150.0;1308160.0;true;201;2;13667;0;0;0
1536.0;150.0;1308160.0;true;201;2;16875;0;0;0
2048.0;150.0;1308160.0;true;201;2;21936;0;0;0
2560.0;150.0;1308160.0;true;201;2;28878;0;0;0
512.0;200.0;1308160.0;true;201;2;11960;0;0;0
1024.0;200.0;1308160.0;true;201;2;13667;0;0;0
1536.0;200.0;1308160.0;true;201;2;16875;0;0;0
2048.0;200.0;1308160.0;true;201;2;21936;0;0;0
2560.0;200.0;1308160.0;true;201;2;28878;0;0;0
512.0;250.0;1308160.0;true;201;2;11960;0;0;0
1024.0;250.0;1308160.0;true;201;2;13667;0;0;0
1536.0;250.0;1308160.0;true;201;2;16875;0;0;0
2048.0;250.0;1308160.0;true;201;2;21936;0;0;0
2560.0;250.0;1308160.0;true;201;2;28878;0;0;0
512.0;50.0;1962240.0;true;201;2;13003;0;0;0
1024.0;50.0;1962240.0;true;201;2;14452;0;0;0
1536.0;50.0;1962240.0;true;201;2;17659;0;0;0
2048.0;50.0;1962240.0;true;201;2;22723;0;0;0
2560.0;50.0;1962240.0;true;201;2;29666;0;0;0
512.0;100.0;1962240.0;true;201;2;13003;0;0;0
1024.0;100.0;1962240.0;true;201;2;14452;0;0;0
1536.0;100.0;1962240.0;true;201;2;17659;0;0;0
2048.0;100.0;1962240.0;true;201;2;22723;0;0;0
2560.0;100.0;1962240.0;true;201;2;29666;0;0;0
512.0;150.0;1962240.0;true;201;2;13003;0;0;0
1024.0;150.0;1962240.0;true;201;2;14452;0;0;0
1536.0;150.0;1962240.0;true;201;2;17659;0;0;0
2048.0;150.0;1962240.0;true;201;2;22723;0;0;0
2560.0;150.0;1962240.0;true;201;2;29666;0;0;0
512.0;200.0;1962240.0;true;201;2;13003;0;0;0
1024.0;200.0;1962240.0;true;201;2;14452;0;0;0
1536.0;200.0;1962240.0;true;201;2;17659;0;0;0
2048.0;200.0;1962240.0;true;201;2;22723;0;0;0
2560.0;200.0;1962240.0;true;201;2;29666;0;0;0
512.0;250.0;1962240.0;true;201;2;13003;0;0;0
1024.0;250.0;1962240.0;true;201;2;14452;0;0;0
1536.0;250.0;1962240.0;true;201;2;17659;0;0;0
2048.0;250.0;1962240.0;true;201;2;22723;0;0;0
2560.0;250.0;1962240.0;true;201;2;29666;0;0;0
512.0;50.0;2616320.0;true;201;2;13536;0;0;0
1024.0;50.0;2616320.0;true;201;2;15241;0;0;0
1536.0;50.0;2616320.0;true;201;2;18447;0;0;0
2048.0;50.0;2616320.0;true;201;2;24132;0;0;0
2560.0;50.0;2616320.0;true;201;2;30455;0;0;0
512.0;100.0;2616320.0;true;201;2;13536;0;0;0
1024.0;100.0;2616320.0;true;201;2;15241;0;0;0
1536.0;100.0;2616320.0;true;201;2;18447;0;0;0
2048.0;100.0;2616320.0;true;201;2;24132;0;0;0
2560.0;100.0;2616320.0;true;201;2;30455;0;0;0
512.0;150.0;2616320.0;true;201;2;13536;0;0;0
1024.0;150.0;2616320.0;true;201;2;15241;0;0;0
1536.0;150.0;2616320.0;true;201;2;18447;0;0;0
2048.0;150.0;2616320.0;true;201;2;24132;0;0;0
2560.0;150.0;2616320.0;true;201;2;30455;0;0;0
512.0;200.0;2616320.0;true;201;2;13536;0;0;0
1024.0;200.0;2616320.0;true;201;2;15241;0;0;0
1536.0;200.0;2616320.0;true;201;2;18447;0;0;0
2048.0;200.0;2616320.0;true;201;2;24132;0;0;0
2560.0;200.0;2616320.0;true;201;2;30455;0;0;0
512.0;250.0;2616320.0;true;201;2;13536;0;0;0
1024.0;250.0;2616320.0;true;201;2;15241;0;0;0
1536.0;250.0;2616320.0;true;201;2;18447;0;0;0
2048.0;250.0;2616320.0;true;201;2;24132;0;0;0
2560.0;250.0;2616320.0;true;201;2;30455;0;0;0
512.0;50.0;3270400.0;true;201;2;14327;0;0;0
1024.0;50.0;3270400.0;true;201;2;16032;0;0;0
1536.0;50.0;3270400.0;true;201;2;19238;0;0;0
2048.0;50.0;3270400.0;true;201;2;24920;0;0;0
2560.0;50.0;3270400.0;true;201;2;31246;0;0;0
512.0;100.0;3270400.0;true;201;2;14327;0;0;0
1024.0;100.0;3270400.0;true;201;2;16032;0;0;0
1536.0;100.0;3270400.0;true;201;2;19238;0;0;0
2048.0;100.0;3270400.0;true;201;2;24920;0;0;0
2560.0;100.0;3270400.0;true;201;2;31246;0;0;0
512.0;150.0;3270400.0;true;201;2;14327;0;0;0
1024.0;150.0;3270400.0;true;201;2;16032;0;0;0
1536.0;150.0;3270400.0;true;201;2;19238;0;0;0
2048.0;150.0;3270400.0;true;201;2;24920;0;0;0
2560.0;150.0;3270400.0;true;201;2;31246;0;0;0
512.0;200.0;3270400.0;true;201;2;14327;0;0;0
1024.0;200.0;3270400.0;true;201;2;16032;0;0;0
1536.0;200.0;3270400.0;true;201;2;19238;0;0;0
2048.0;200.0;3270400.0;true;201;2;24920;0;0;0
2560.0;200.0;3270400.0;true;201;2;31246;0;0;0
512.0;250.0;3270400.0;true;201;2;14327;0;0;0
1024.0;250.0;3270400.0;true;201;2;16032;0;0;0
1536.0;250.0;3270400.0;true;201;2;19238;0;0;0
2048.0;250.0;3270400.0;true;201;2;24920;0;0;0
2560.0;250.0;3270400.0;true;201;2;31246;0;0;0
512.0;50.0;3924480.0;true;201;2;15111;0;0;0
1024.0;50.0;3924480.0;true;201;2;16818;0;0;0
1536.0;50.0;3924480.0;true;201;2;20022;0;0;0
2048.0;50.0;3924480.0;true;201;2;25705;0;0;0
2560.0;50.0;3924480.0;true;201;2;32031;0;0;0
512.0;100.0;3924480.0;true;201;2;15111;0;0;0
1024.0;100.0;3924480.0;true;201;2;16818;0;0;0
1536.0;100.0;3924480.0;true;201;2;20022;0;0;0
2048.0;100.0;3924480.0;true;201;2;25705;0;0;0
2560.0;100.0;3924480.0;true;201;2;32031;0;0;0
512.0;150.0;3924480.0;true;201;2;15111;0;0;0
1024.0;150.0;3924480.0;true;201;2;16818;0;0;0
1536.0;150.0;3924480.0;true;201;2;20022;0;0;0
2048.0;150.0;3924480.0;true;201;2;25705;0;0;0
2560.0;150.0;3924480.0;true;201;2;32031;0;0;0
512.0;200.0;3924480.0;true;201;2;15111;0;0;0
1024.0;200.0;3924480.0;true;201;2;16818;0;0;0
1536.0;200.0;3924480.0;true;201;2;20022;0;0;0
2048.0;200.0;3924480.0;true;201;2;25705;0;0;0
2560.0;200.0;3924480.0;true;201;2;32031;0;0;0
512.0;250.0;3924480.0;true;201;2;15111;0;0;0
1024.0;250.0;3924480.0;true;201;2;16818;0;0;0
1536.0;250.0;3924480.0;true;201;2;20022;0;0;0
2048.0;250.0;3924480.0;true;201;2;25705;0;0;0
2560.0;250.0;3924480.0;true;201;2;32031;0;0;0
