GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;211;2;2579;0;0;0
1024.0;50.0;1308160.0;true;211;2;13735;0;0;0
1536.0;50.0;1308160.0;true;211;2;20820;0;0;0
2048.0;50.0;1308160.0;true;211;2;11294;0;0;0
2560.0;50.0;1308160.0;true;211;2;17303;0;0;0
512.0;100.0;1308160.0;true;211;2;2579;0;0;0
1024.0;100.0;1308160.0;true;211;2;13735;0;0;0
1536.0;100.0;1308160.0;true;211;2;20820;0;0;0
2048.0;100.0;1308160.0;true;211;2;11294;0;0;0
2560.0;100.0;1308160.0;true;211;2;17303;0;0;0
512.0;150.0;1308160.0;true;211;2;2579;0;0;0
1024.0;150.0;1308160.0;true;211;2;13735;0;0;0
1536.0;150.0;1308160.0;true;211;2;20820;0;0;0
2048.0;150.0;1308160.0;true;211;2;11294;0;0;0
2560.0;150.0;1308160.0;true;211;2;17303;0;0;0
512.0;200.0;1308160.0;true;211;2;2579;0;0;0
1024.0;200.0;1308160.0;true;211;2;13735;0;0;0
1536.0;200.0;1308160.0;true;211;2;20820;0;0;0
2048.0;200.0;1308160.0;true;211;2;11294;0;0;0
2560.0;200.0;1308160.0;true;211;2;17303;0;0;0
512.0;250.0;1308160.0;true;211;2;2579;0;0;0
1024.0;250.0;1308160.0;true;211;2;13735;0;0;0
1536.0;250.0;1308160.0;true;211;2;20820;0;0;0
2048.0;250.0;1308160.0;true;211;2;11294;0;0;0
2560.0;250.0;1308160.0;true;211;2;17303;0;0;0
512.0;50.0;1962240.0;true;211;2;6082;0;0;0
1024.0;50.0;1962240.0;true;211;2;18081;0;0;0
1536.0;50.0;1962240.0;true;211;2;25945;0;0;0
2048.0;50.0;1962240.0;true;211;2;14623;0;0;0
2560.0;50.0;1962240.0;true;211;2;18088;0;0;0
512.0;100.0;1962240.0;true;211;2;6082;0;0;0
1024.0;100.0;1962240.0;true;211;2;18081;0;0;0
1536.0;100.0;1962240.0;true;211;2;25945;0;0;0
2048.0;100.0;1962240.0;true;211;2;14623;0;0;0
2560.0;100.0;1962240.0;true;211;2;18088;0;0;0
512.0;150.0;1962240.0;true;211;2;6082;0;0;0
1024.0;150.0;1962240.0;true;211;2;18081;0;0;0
1536.0;150.0;1962240.0;true;211;2;25945;0;0;0
2048.0;150.0;1962240.0;true;211;2;14623;0;0;0
2560.0;150.0;1962240.0;true;211;2;18088;0;0;0
512.0;200.0;1962240.0;true;211;2;6082;0;0;0
1024.0;200.0;1962240.0;true;211;2;18081;0;0;0
1536.0;200.0;1962240.0;true;211;2;25945;0;0;0
2048.0;200.0;1962240.0;true;211;2;14623;0;0;0
2560.0;200.0;1962240.0;true;211;2;18088;0;0;0
512.0;250.0;1962240.0;true;211;2;6082;0;0;0
1024.0;250.0;1962240.0;true;211;2;18081;0;0;0
1536.0;250.0;1962240.0;true;211;2;25945;0;0;0
2048.0;250.0;1962240.0;true;211;2;14623;0;0;0
2560.0;250.0;1962240.0;true;211;2;18088;0;0;0
512.0;50.0;2616320.0;true;211;2;9946;0;0;0
1024.0;50.0;2616320.0;true;211;2;22424;0;0;0
1536.0;50.0;2616320.0;true;211;2;31069;0;0;0
2048.0;50.0;2616320.0;true;211;2;18326;0;0;0
2560.0;50.0;2616320.0;true;211;2;18873;0;0;0
512.0;100.0;2616320.0;true;211;2;9946;0;0;0
1024.0;100.0;2616320.0;true;211;2;22424;0;0;0
1536.0;100.0;2616320.0;true;211;2;31069;0;0;0
2048.0;100.0;2616320.0;true;211;2;18326;0;0;0
2560.0;100.0;2616320.0;true;211;2;18873;0;0;0
512.0;150.0;2616320.0;true;211;2;9946;0;0;0
1024.0;150.0;2616320.0;true;211;2;22424;0;0;0
1536.0;150.0;2616320.0;true;211;2;31069;0;0;0
2048.0;150.0;2616320.0;true;211;2;18326;0;0;0
2560.0;150.0;2616320.0;true;211;2;18873;0;0;0
512.0;200.0;2616320.0;true;211;2;9946;0;0;0
1024.0;200.0;2616320.0;true;211;2;22424;0;0;0
1536.0;200.0;2616320.0;true;211;2;31069;0;0;0
2048.0;200.0;2616320.0;true;211;2;18326;0;0;0
2560.0;200.0;2616320.0;true;211;2;18873;0;0;0
512.0;250.0;2616320.0;true;211;2;9946;0;0;0
1024.0;250.0;2616320.0;true;211;2;22424;0;0;0
1536.0;250.0;2616320.0;true;211;2;31069;0;0;0
2048.0;250.0;2616320.0;true;211;2;18326;0;0;0
2560.0;250.0;2616320.0;true;211;2;18873;0;0;0
512.0;50.0;3270400.0;true;211;2;13811;0;0;0
1024.0;50.0;3270400.0;true;211;2;26750;0;0;0
1536.0;50.0;3270400.0;true;211;2;36195;0;0;0
2048.0;50.0;3270400.0;true;211;2;24797;0;0;0
2560.0;50.0;3270400.0;true;211;2;19658;0;0;0
512.0;100.0;3270400.0;true;211;2;13811;0;0;0
1024.0;100.0;3270400.0;true;211;2;26750;0;0;0
1536.0;100.0;3270400.0;true;211;2;36195;0;0;0
2048.0;100.0;3270400.0;true;211;2;24797;0;0;0
2560.0;100.0;3270400.0;true;211;2;19658;0;0;0
512.0;150.0;3270400.0;true;211;2;13811;0;0;0
1024.0;150.0;3270400.0;true;211;2;26750;0;0;0
1536.0;150.0;3270400.0;true;211;2;36195;0;0;0
2048.0;150.0;3270400.0;true;211;2;24797;0;0;0
2560.0;150.0;3270400.0;true;211;2;19658;0;0;0
512.0;200.0;3270400.0;true;211;2;13811;0;0;0
1024.0;200.0;3270400.0;true;211;2;26750;0;0;0
1536.0;200.0;3270400.0;true;211;2;36195;0;0;0
2048.0;200.0;3270400.0;true;211;2;24797;0;0;0
2560.0;200.0;3270400.0;true;211;2;19658;0;0;0
512.0;250.0;3270400.0;true;211;2;13811;0;0;0
1024.0;250.0;3270400.0;true;211;2;26750;0;0;0
1536.0;250.0;3270400.0;true;211;2;36195;0;0;0
2048.0;250.0;3270400.0;true;211;2;24797;0;0;0
2560.0;250.0;3270400.0;true;211;2;19658;0;0;0
512.0;50.0;3924480.0;true;211;2;17655;0;0;0
1024.0;50.0;3924480.0;true;211;2;31075;0;0;0
1536.0;50.0;3924480.0;true;211;2;41280;0;0;0
2048.0;50.0;3924480.0;true;211;2;31043;0;0;0
2560.0;50.0;3924480.0;true;211;2;20443;0;0;0
512.0;100.0;3924480.0;true;211;2;17655;0;0;0
1024.0;100.0;3924480.0;true;211;2;31075;0;0;0
1536.0;100.0;3924480.0;true;211;2;41280;0;0;0
2048.0;100.0;3924480.0;true;211;2;31043;0;0;0
2560.0;100.0;3924480.0;true;211;2;20443;0;0;0
512.0;150.0;3924480.0;true;211;2;17655;0;0;0
1024.0;150.0;3924480.0;true;211;2;31075;0;0;0
1536.0;150.0;3924480.0;true;211;2;41280;0;0;0
2048.0;150.0;3924480.0;true;211;2;31043;0;0;0
2560.0;150.0;3924480.0;true;211;2;20443;0;0;0
512.0;200.0;3924480.0;true;211;2;17655;0;0;0
1024.0;200.0;3924480.0;true;211;2;31075;0;0;0
1536.0;200.0;3924480.0;true;211;2;41280;0;0;0
2048.0;200.0;3924480.0;true;211;2;31043;0;0;0
2560.0;200.0;3924480.0;true;211;2;20443;0;0;0
512.0;250.0;3924480.0;true;211;2;17655;0;0;0
1024.0;250.0;3924480.0;true;211;2;31075;0;0;0
1536.0;250.0;3924480.0;true;211;2;41280;0;0;0
2048.0;250.0;3924480.0;true;211;2;31043;0;0;0
2560.0;250.0;3924480.0;true;211;2;20443;0;0;0
