NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;74346.701;74346.701
1308160;1024;50;74196.676;74196.676
1308160;1536;50;73863.915;73863.915
1308160;512;100;73752.304;73752.304
1308160;1024;100;73799.102;73799.102
1308160;1536;100;74269.952;74269.952
1308160;512;150;73716.597;73716.597
1308160;1024;150;73824.926;73824.926
1308160;1536;150;73767.191;73767.191
1962240;512;50;73706.762;73706.762
1962240;1024;50;73737.797;73737.797
1962240;1536;50;73795.561;73795.561
1962240;512;100;73794.726;73794.726
1962240;1024;100;73922.925;73922.925
1962240;1536;100;73864.373;73864.373
1962240;512;150;73807.910;73807.910
1962240;1024;150;73766.411;73766.411
1962240;1536;150;73845.297;73845.297
2616320;512;50;73784.223;73784.223
2616320;1024;50;73843.202;73843.202
2616320;1536;50;73945.808;73945.808
2616320;512;100;73761.441;73761.441
2616320;1024;100;73795.663;73795.663
2616320;1536;100;73835.657;73835.657
2616320;512;150;73857.578;73857.578
2616320;1024;150;73799.786;73799.786
2616320;1536;150;73718.304;73718.304
