NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;34965;34965.048
1308160;1024;50;35072;35072.943
1308160;1536;50;35042;35042.13
1308160;512;100;34983;34983.463
1308160;1024;100;34996;34996.381
1308160;1536;100;35205;35205.82
1308160;512;150;37697;37697.462
1308160;1024;150;35964;35964.729
1308160;1536;150;35700;35700.461
1962240;512;50;35759;35759.949
1962240;1024;50;36259;36259.485
1962240;1536;50;35837;35837.214
1962240;512;100;35838;35838.269
1962240;1024;100;35603;35603.944
1962240;1536;100;35343;35343.162
1962240;512;150;35266;35266.882
1962240;1024;150;35648;35648.425
1962240;1536;150;35607;35607.163
2616320;512;50;35593;35593.004
2616320;1024;50;35858;35858.652
2616320;1536;50;35345;35345.302
2616320;512;100;35684;35684.248
2616320;1024;100;35272;35272.587
2616320;1536;100;35548;35548.104
2616320;512;150;35967;35967.268
2616320;1024;150;35719;35719.882
2616320;1536;150;35769;35769.942
