GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;201;2;41853;0;0;0
1024.0;50.0;1308160.0;true;201;2;47723;0;0;0
1536.0;50.0;1308160.0;true;201;2;57623;0;0;0
512.0;100.0;1308160.0;true;201;2;41853;0;0;0
1024.0;100.0;1308160.0;true;201;2;47723;0;0;0
1536.0;100.0;1308160.0;true;201;2;57623;0;0;0
512.0;150.0;1308160.0;true;201;2;41853;0;0;0
1024.0;150.0;1308160.0;true;201;2;47723;0;0;0
1536.0;150.0;1308160.0;true;201;2;57623;0;0;0
512.0;50.0;1962240.0;true;201;2;45783;0;0;0
1024.0;50.0;1962240.0;true;201;2;51653;0;0;0
1536.0;50.0;1962240.0;true;201;2;61553;0;0;0
512.0;100.0;1962240.0;true;201;2;45783;0;0;0
1024.0;100.0;1962240.0;true;201;2;51653;0;0;0
1536.0;100.0;1962240.0;true;201;2;61553;0;0;0
512.0;150.0;1962240.0;true;201;2;45783;0;0;0
1024.0;150.0;1962240.0;true;201;2;51653;0;0;0
1536.0;150.0;1962240.0;true;201;2;61553;0;0;0
512.0;50.0;2616320.0;true;201;2;49723;0;0;0
1024.0;50.0;2616320.0;true;201;2;55593;0;0;0
1536.0;50.0;2616320.0;true;201;2;65493;0;0;0
512.0;100.0;2616320.0;true;201;2;49723;0;0;0
1024.0;100.0;2616320.0;true;201;2;55593;0;0;0
1536.0;100.0;2616320.0;true;201;2;65493;0;0;0
512.0;150.0;2616320.0;true;201;2;49723;0;0;0
1024.0;150.0;2616320.0;true;201;2;55593;0;0;0
1536.0;150.0;2616320.0;true;201;2;65493;0;0;0
