NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;76393.234;76393.234
1308160;1024;50;76000.483;76000.483
1308160;1536;50;76130.778;76130.778
1308160;512;100;76379.022;76379.022
1308160;1024;100;76393.131;76393.131
1308160;1536;100;76132.495;76132.495
1308160;512;150;76132.304;76132.304
1308160;1024;150;76039.094;76039.094
1308160;1536;150;76143.701;76143.701
1962240;512;50;76005.096;76005.096
1962240;1024;50;76191.792;76191.792
1962240;1536;50;76335.653;76335.653
1962240;512;100;76179.072;76179.072
1962240;1024;100;76410.540;76410.540
1962240;1536;100;76432.769;76432.769
1962240;512;150;76529.897;76529.897
1962240;1024;150;76616.948;76616.948
1962240;1536;150;76405.326;76405.326
2616320;512;50;76144.504;76144.504
2616320;1024;50;76209.260;76209.260
2616320;1536;50;76240.474;76240.474
2616320;512;100;76227.630;76227.630
2616320;1024;100;76247.840;76247.840
2616320;1536;100;76150.065;76150.065
2616320;512;150;76135.787;76135.787
2616320;1024;150;76319.468;76319.468
2616320;1536;150;76343.755;76343.755
