NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
50958;512;1;1433.443;1433.443
50958;1024;1;939.039;939.039
50958;1536;1;452.523;452.523
50958;2048;1;1006.867;1006.867
50958;4096;1;1670.247;1670.247
50958;512;10;1481.272;1481.272
50958;1024;10;867.548;867.548
50958;1536;10;471.099;471.099
50958;2048;10;1020.410;1020.410
50958;4096;10;384.697;384.697
50958;512;100;2180.769;2180.769
50958;1024;100;884.642;884.642
50958;1536;100;466.127;466.127
50958;2048;100;497.247;497.247
50958;4096;100;1681.201;1681.201
50958;512;1000;9223.823;9223.823
50958;1024;1000;521.400;521.400
50958;1536;1000;932.615;932.615
50958;2048;1000;1016.798;1016.798
50958;4096;1000;1692.161;1692.161
164198;512;1;1706.962;1706.962
164198;1024;1;892.113;892.113
164198;1536;1;455.230;455.230
164198;2048;1;467.250;467.250
164198;4096;1;1685.985;1685.985
164198;512;10;1797.815;1797.815
164198;1024;10;909.724;909.724
164198;1536;10;471.416;471.416
164198;2048;10;1063.920;1063.920
164198;4096;10;1672.247;1672.247
164198;512;100;2518.710;2518.710
164198;1024;100;958.180;958.180
164198;1536;100;978.349;978.349
164198;2048;100;1055.676;1055.676
164198;4096;100;1676.006;1676.006
164198;512;1000;9569.631;9569.631
164198;1024;1000;482.095;482.095
164198;1536;1000;535.893;535.893
164198;2048;1000;999.618;999.618
164198;4096;1000;1670.856;1670.856
1477782;512;1;5288.112;5288.112
1477782;1024;1;949.973;949.973
1477782;1536;1;946.658;946.658
1477782;2048;1;1070.634;1070.634
1477782;4096;1;491.442;491.442
1477782;512;10;5279.294;5279.294
1477782;1024;10;548.035;548.035
1477782;1536;10;1007.495;1007.495
1477782;2048;10;485.496;485.496
1477782;4096;10;378.262;378.262
1477782;512;100;6118.279;6118.279
1477782;1024;100;468.623;468.623
1477782;1536;100;466.386;466.386
1477782;2048;100;373.987;373.987
1477782;4096;100;1768.476;1768.476
