NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1477782;512;1;10159.713;10159.713
1477782;1024;1;13884.095;13884.095
1477782;1536;1;21338.509;21338.509
1477782;2048;1;30608.878;30608.878
1477782;4096;1;131493.096;131493.096
1477782;512;10;10345.359;10345.359
1477782;1024;10;14178.885;14178.885
1477782;1536;10;22024.575;22024.575
1477782;2048;10;31852.649;31852.649
1477782;4096;10;31723.979;31723.979
1477782;512;100;10818.256;10818.256
1477782;1024;100;16942.838;16942.838
1477782;1536;100;28342.073;28342.073
1477782;2048;100;43128.595;43128.595
1477782;4096;100;31128.079;31128.079
1477782;512;1000;17831.887;17831.887
1477782;1024;1000;45115.999;45115.999
1477782;1536;1000;92175.141;92175.141
1477782;2048;1000;157013.518;157013.518
1477782;4096;1000;31203.467;31203.467
