NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;41042.490;41042.490
1308160;512;100;44109.729;44109.729
1308160;512;150;44941.240;44941.240
1308160;512;200;50384.410;50384.410
1308160;512;250;43273.724;43273.724
1308160;1024;50;56962.475;56962.475
1308160;1024;100;52007.825;52007.825
1308160;1024;150;54104.644;54104.644
1308160;1024;200;51136.521;51136.521
1308160;1024;250;50495.516;50495.516
1308160;1536;50;479453.601;479453.601
1308160;1536;100;36974.982;36974.982
1308160;1536;150;426247.043;426247.043
1308160;1536;200;36252.112;36252.112
1308160;1536;250;95828.996;95828.996
1308160;2048;50;40171.637;40171.637
1308160;2048;100;84256.216;84256.216
1308160;2048;150;157972.349;157972.349
1308160;2048;200;39194.557;39194.557
1308160;2048;250;40177.134;40177.134
1308160;2560;50;41092.423;41092.423
1308160;2560;100;43316.710;43316.710
1308160;2560;150;39104.084;39104.084
1308160;2560;200;41275.710;41275.710
1308160;2560;250;40342.627;40342.627
1962240;512;50;80573.031;80573.031
1962240;512;100;65830.819;65830.819
1962240;512;150;79135.702;79135.702
1962240;512;200;45900.655;45900.655
1962240;512;250;40665.629;40665.629
1962240;1024;50;44244.101;44244.101
