NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;105186.701;105186.701
1308160;1024;50;104653.410;104653.410
1308160;1536;50;105356.925;105356.925
1308160;512;100;104872.929;104872.929
1308160;1024;100;105341.545;105341.545
1308160;1536;100;104758.285;104758.285
1308160;512;150;104775.398;104775.398
1308160;1024;150;104482.821;104482.821
1308160;1536;150;104013.443;104013.443
1962240;512;50;104309.582;104309.582
1962240;1024;50;104440.463;104440.463
1962240;1536;50;104553.612;104553.612
1962240;512;100;103837.757;103837.757
1962240;1024;100;104611.160;104611.160
1962240;1536;100;104339.695;104339.695
1962240;512;150;104141.780;104141.780
1962240;1024;150;104049.358;104049.358
1962240;1536;150;104170.474;104170.474
2616320;512;50;103922.715;103922.715
2616320;1024;50;103776.218;103776.218
2616320;1536;50;103774.864;103774.864
2616320;512;100;103978.826;103978.826
2616320;1024;100;103850.115;103850.115
2616320;1536;100;104176.334;104176.334
2616320;512;150;104186.058;104186.058
2616320;1024;150;104076.543;104076.543
2616320;1536;150;104166.903;104166.903
