NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
50958;512;1;1404.336;1404.336
50958;1024;1;891.147;891.147
50958;1536;1;377.621;377.621
50958;2048;1;1087.980;1087.980
50958;4096;1;1691.116;1691.116
50958;512;10;1493.489;1493.489
50958;1024;10;893.899;893.899
50958;1536;10;950.999;950.999
50958;2048;10;1062.036;1062.036
50958;4096;10;1693.450;1693.450
50958;512;100;2247.038;2247.038
50958;1024;100;884.608;884.608
50958;1536;100;1014.706;1014.706
50958;2048;100;1019.168;1019.168
50958;4096;100;457.096;457.096
50958;512;1000;9202.581;9202.581
50958;1024;1000;874.072;874.072
50958;1536;1000;389.464;389.464
50958;2048;1000;1008.179;1008.179
50958;4096;1000;458.487;458.487
164198;512;1;1719.572;1719.572
164198;1024;1;889.534;889.534
164198;1536;1;955.084;955.084
164198;2048;1;1089.277;1089.277
164198;4096;1;1685.269;1685.269
164198;512;10;1722.779;1722.779
164198;1024;10;877.522;877.522
164198;1536;10;967.067;967.067
164198;2048;10;451.681;451.681
164198;4096;10;474.249;474.249
164198;512;100;2426.169;2426.169
164198;1024;100;909.634;909.634
164198;1536;100;938.037;938.037
164198;2048;100;996.228;996.228
164198;4096;100;1704.812;1704.812
164198;512;1000;9593.802;9593.802
164198;1024;1000;909.019;909.019
164198;1536;1000;501.943;501.943
164198;2048;1000;1022.715;1022.715
164198;4096;1000;1758.876;1758.876
1477782;512;1;5011.174;5011.174
1477782;1024;1;899.701;899.701
1477782;1536;1;467.203;467.203
1477782;2048;1;468.211;468.211
1477782;4096;1;1737.045;1737.045
1477782;512;10;5052.197;5052.197
1477782;1024;10;921.543;921.543
1477782;1536;10;1149.264;1149.264
1477782;2048;10;490.316;490.316
1477782;4096;10;1744.710;1744.710
1477782;512;100;5830.711;5830.711
1477782;1024;100;478.345;478.345
1477782;1536;100;450.745;450.745
1477782;2048;100;1033.200;1033.200
1477782;4096;100;1694.565;1694.565
1477782;512;1000;12661.675;12661.675
1477782;1024;1000;899.605;899.605
1477782;1536;1000;466.759;466.759
1477782;2048;1000;1003.214;1003.214
1477782;4096;1000;465.516;465.516
14777820;512;1;33470.070;33470.070
14777820;1024;1;395.087;395.087
14777820;1536;1;494.904;494.904
14777820;2048;1;1067.359;1067.359
14777820;4096;1;1703.500;1703.500
14777820;512;10;33696.692;33696.692
14777820;1024;10;884.951;884.951
14777820;1536;10;954.722;954.722
14777820;2048;10;1033.435;1033.435
14777820;4096;10;1689.101;1689.101
14777820;512;100;34114.883;34114.883
14777820;1024;100;923.642;923.642
14777820;1536;100;948.334;948.334
14777820;2048;100;1019.270;1019.270
14777820;4096;100;1701.206;1701.206
14777820;512;1000;41203.571;41203.571
14777820;1024;1000;381.581;381.581
14777820;1536;1000;530.922;530.922
14777820;2048;1000;374.624;374.624
14777820;4096;1000;1708.996;1708.996
14777820;512;1;33698.494;33698.494
14777820;1024;1;491.465;491.465
14777820;1536;1;464.838;464.838
14777820;2048;1;1013.195;1013.195
14777820;4096;1;1682.463;1682.463
14777820;512;10;33357.757;33357.757
14777820;1024;10;876.309;876.309
14777820;1536;10;1015.727;1015.727
14777820;2048;10;1014.258;1014.258
14777820;4096;10;498.383;498.383
14777820;512;100;34370.983;34370.983
14777820;1024;100;902.320;902.320
14777820;1536;100;451.728;451.728
14777820;2048;100;454.281;454.281
14777820;4096;100;454.576;454.576
14777820;512;1000;41475.821;41475.821
14777820;1024;1000;462.028;462.028
14777820;1536;1000;945.965;945.965
14777820;2048;1000;447.970;447.970
14777820;4096;1000;1691.433;1691.433
