NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1477782;512;1;6240.712;6240.712
1477782;1024;1;6444.090;6444.090
1477782;1536;1;6940.833;6940.833
1477782;2048;1;7448.629;7448.629
1477782;4096;1;12736.605;12736.605
1477782;512;10;6644.561;6644.561
1477782;1024;10;7128.346;7128.346
1477782;1536;10;7714.904;7714.904
1477782;2048;10;9086.958;9086.958
1477782;4096;10;21976.997;21976.997
1477782;512;100;6166.943;6166.943
1477782;1024;100;6389.795;6389.795
1477782;1536;100;6944.579;6944.579
1477782;2048;100;7447.677;7447.677
1477782;4096;100;12719.961;12719.961
1477782;512;1000;6149.099;6149.099
1477782;1024;1000;6358.178;6358.178
1477782;1536;1000;6942.900;6942.900
1477782;2048;1000;7518.153;7518.153
1477782;4096;1000;12722.979;12722.979
