NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;45634.641;45634.641
1308160;1024;50;46823.549;46823.549
1308160;1536;50;54710.498;54710.498
1308160;512;100;41094.723;41094.723
1308160;1024;100;46477.190;46477.190
1308160;1536;100;54717.729;54717.729
1308160;512;150;41515.671;41515.671
1308160;1024;150;47252.062;47252.062
1308160;1536;150;55291.823;55291.823
1962240;512;50;58614.743;58614.743
1962240;1024;50;45970.492;45970.492
1962240;1536;50;48840.148;48840.148
1962240;512;100;42268.648;42268.648
1962240;1024;100;42385.553;42385.553
1962240;1536;100;44506.229;44506.229
1962240;512;150;40703.856;40703.856
1962240;1024;150;47442.714;47442.714
1962240;1536;150;38523.091;38523.091
2616320;512;50;39686.042;39686.042
2616320;1024;50;38577.779;38577.779
2616320;1536;50;37798.330;37798.330
2616320;512;100;36361.894;36361.894
2616320;1024;100;1168636.349;1168636.349
2616320;1536;100;43379.299;43379.299
2616320;512;150;39500.564;39500.564
2616320;1024;150;52828.300;52828.300
2616320;1536;150;37611.396;37611.396
