NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLE;DurationII;Latency
1308160;512;50;168594.888;168594.888
1308160;512;100;167592.698;167592.698
1308160;512;150;169341.122;169341.122
1308160;512;200;168553.871;168553.871
1308160;512;250;167712.028;167712.028
1308160;1024;50;170692.968;170692.968
1308160;1024;100;170200.079;170200.079
1308160;1024;150;171188.122;171188.122
1308160;1024;200;168928.283;168928.283
1308160;1024;250;170806.451;170806.451
1308160;1536;50;306574.510;306574.510
1308160;1536;100;402161.312;402161.312
1308160;1536;150;257438.450;257438.450
1308160;1536;200;162290.484;162290.484
1308160;1536;250;162825.410;162825.410
1308160;2048;50;163132.153;163132.153
1308160;2048;100;163067.713;163067.713
1308160;2048;150;162994.265;162994.265
1308160;2048;200;164598.775;164598.775
