NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;165926.066;165926.066
1308160;512;100;170663.314;170663.314
1308160;512;150;166780.379;166780.379
1308160;512;200;167178.870;167178.870
1308160;512;250;168252.166;168252.166
1308160;1024;50;167705.275;167705.275
1308160;1024;100;167854.405;167854.405
1308160;1024;150;167497.072;167497.072
1308160;1024;200;165338.093;165338.093
1308160;1024;250;167059.647;167059.647
1308160;1536;50;165766.849;165766.849
1308160;1536;100;166804.903;166804.903
1308160;1536;150;167336.369;167336.369
1308160;1536;200;166334.951;166334.951
1308160;1536;250;165283.949;165283.949
1308160;2048;50;165406.610;165406.610
1308160;2048;100;166940.137;166940.137
1308160;2048;150;165948.470;165948.470
1308160;2048;200;3540723.132;3540723.132
1308160;2048;250;165797.295;165797.295
1308160;2560;50;166718.356;166718.356
1308160;2560;100;166503.055;166503.055
1308160;2560;150;166668.314;166668.314
1308160;2560;200;6548551.316;6548551.316
1308160;2560;250;164649.468;164649.468
1962240;512;50;210863.343;210863.343
1962240;512;100;400232.205;400232.205
1962240;512;150;11212479.143;11212479.143
1962240;512;200;399720.956;399720.956
1962240;512;250;404364.348;404364.348
1962240;1024;50;399342.265;399342.265
