NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1308160;512;50;41007.628;41007.628
1308160;1024;50;47194.938;47194.938
1308160;1536;50;57368.524;57368.524
1308160;512;100;41678.382;41678.382
1308160;1024;100;49003.855;49003.855
1308160;1536;100;61963.570;61963.570
1308160;512;150;43842.434;43842.434
1308160;1024;150;51144.696;51144.696
1308160;1536;150;70844.796;70844.796
1962240;512;50;61976.675;61976.675
1962240;1024;50;68731.548;68731.548
1962240;1536;50;79904.963;79904.963
1962240;512;100;61833.068;61833.068
1962240;1024;100;68664.444;68664.444
1962240;1536;100;77327.892;77327.892
1962240;512;150;58130.498;58130.498
1962240;1024;150;66797.370;66797.370
1962240;1536;150;81097.259;81097.259
2616320;512;50;73970.528;73970.528
2616320;1024;50;80867.207;80867.207
2616320;1536;50;91295.380;91295.380
2616320;512;100;74530.235;74530.235
2616320;1024;100;87635.992;87635.992
2616320;1536;100;168622.773;168622.773
2616320;512;150;137043.190;137043.190
2616320;1024;150;144378.298;144378.298
2616320;1536;150;182989.256;182989.256
