NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
50958;512;1;1616.498;1616.498
50958;1024;1;465.292;465.292
50958;1536;1;1001.935;1001.935
50958;2048;1;1008.458;1008.458
50958;4096;1;1707.534;1707.534
50958;512;10;1690.661;1690.661
50958;1024;10;864.760;864.760
50958;1536;10;924.443;924.443
50958;2048;10;1039.246;1039.246
50958;4096;10;1690.533;1690.533
50958;512;100;2371.773;2371.773
50958;1024;100;878.353;878.353
50958;1536;100;369.873;369.873
50958;2048;100;460.099;460.099
50958;4096;100;447.785;447.785
50958;512;1000;9512.329;9512.329
50958;1024;1000;454.014;454.014
50958;1536;1000;923.153;923.153
50958;2048;1000;465.848;465.848
50958;4096;1000;1772.054;1772.054
164198;512;1;1907.905;1907.905
164198;1024;1;881.932;881.932
164198;1536;1;946.416;946.416
164198;2048;1;1057.195;1057.195
164198;4096;1;1733.043;1733.043
164198;512;10;1930.645;1930.645
164198;1024;10;859.505;859.505
164198;1536;10;509.506;509.506
164198;2048;10;988.973;988.973
164198;4096;10;381.032;381.032
164198;512;100;2703.680;2703.680
164198;1024;100;875.977;875.977
164198;1536;100;478.490;478.490
164198;2048;100;458.426;458.426
164198;4096;100;461.691;461.691
164198;512;1000;9750.139;9750.139
164198;1024;1000;524.375;524.375
164198;1536;1000;935.341;935.341
164198;2048;1000;1024.115;1024.115
164198;4096;1000;534.680;534.680
1477782;512;1;5481.997;5481.997
1477782;1024;1;894.552;894.552
1477782;1536;1;939.671;939.671
1477782;2048;1;443.631;443.631
1477782;4096;1;470.558;470.558
1477782;512;10;5398.641;5398.641
1477782;1024;10;880.409;880.409
1477782;1536;10;982.562;982.562
1477782;2048;10;985.838;985.838
1477782;4096;10;1706.873;1706.873
1477782;512;100;5946.706;5946.706
1477782;1024;100;886.837;886.837
1477782;1536;100;965.095;965.095
1477782;2048;100;1070.575;1070.575
1477782;4096;100;459.989;459.989
1477782;512;1000;13097.259;13097.259
1477782;1024;1000;887.323;887.323
1477782;1536;1000;446.828;446.828
1477782;2048;1000;1086.421;1086.421
1477782;4096;1000;466.289;466.289
14777820;512;1;37003.259;37003.259
14777820;1024;1;535.287;535.287
14777820;1536;1;990.030;990.030
14777820;2048;1;999.231;999.231
14777820;4096;1;1718.734;1718.734
14777820;512;10;39266.011;39266.011
14777820;1024;10;901.651;901.651
14777820;1536;10;990.514;990.514
14777820;2048;10;483.423;483.423
14777820;4096;10;1652.059;1652.059
14777820;512;100;43555.265;43555.265
14777820;1024;100;906.321;906.321
14777820;1536;100;390.182;390.182
14777820;2048;100;1023.121;1023.121
14777820;4096;100;491.468;491.468
14777820;512;1000;48433.250;48433.250
14777820;1024;1000;408.570;408.570
14777820;1536;1000;979.617;979.617
14777820;2048;1000;452.722;452.722
14777820;4096;1000;456.817;456.817
14777820;512;1;39433.677;39433.677
14777820;1024;1;528.962;528.962
14777820;1536;1;1119.151;1119.151
14777820;2048;1;440.565;440.565
14777820;4096;1;464.682;464.682
14777820;512;10;38040.802;38040.802
14777820;1024;10;922.015;922.015
14777820;1536;10;512.497;512.497
14777820;2048;10;1069.275;1069.275
14777820;4096;10;1683.543;1683.543
14777820;512;100;39209.093;39209.093
14777820;1024;100;902.965;902.965
14777820;1536;100;451.483;451.483
14777820;2048;100;1034.393;1034.393
14777820;4096;100;1636.587;1636.587
14777820;512;1000;53604.317;53604.317
14777820;1024;1000;400.261;400.261
14777820;1536;1000;1028.175;1028.175
14777820;2048;1000;535.149;535.149
14777820;4096;1000;1684.816;1684.816
