NUM_VISIBILITIES;GRID_SIZE;NUM_MINOR_CYCLES;DurationII;Latency
1477782;512;1;9597.578;9597.578
1477782;1024;1;14097.580;14097.580
1477782;1536;1;22686.995;22686.995
1477782;2048;1;38841.616;38841.616
1477782;4096;1;159616.243;159616.243
1477782;512;10;9978.550;9978.550
1477782;1024;10;14573.350;14573.350
1477782;1536;10;23842.185;23842.185
1477782;2048;10;36586.489;36586.489
1477782;4096;10;132852.149;132852.149
1477782;512;100;10821.901;10821.901
1477782;1024;100;18032.469;18032.469
1477782;1536;100;31123.984;31123.984
1477782;2048;100;45940.424;45940.424
1477782;4096;100;170829.872;170829.872
1477782;512;1000;18145.039;18145.039
1477782;1024;1000;45716.477;45716.477
1477782;1536;1000;93842.466;93842.466
1477782;2048;1000;135685.285;135685.285
1477782;4096;1000;532538.685;532538.685
