Filename,Best Degree,Best RMSE,Coefficients,Average
addvis_timings,4,8.293893593196879e-15,max(11.5,+ 0.000001 * NUM_VISIBILITIES + 4.900000),30.46
clean_timings,6,138.9031634933275,max(90.9,-322.338854 + 31.470761 * GRID_SIZE -0.265562 * NUM_MINOR_CYCLES + 0.001363 * GRID_SIZE^2 -0.000003 * GRID_SIZE * NUM_MINOR_CYCLES -1.016266 * GRID_SIZE^2 * NUM_MINOR_CYCLES -0.063035 * GRID_SIZE * NUM_MINOR_CYCLES^2 + 0.000268 * NUM_MINOR_CYCLES^3 -0.000001 * GRID_SIZE^4 + 0.003571 * GRID_SIZE * NUM_MINOR_CYCLES^3 + 0.000071 * NUM_MINOR_CYCLES^4 -0.000004 * GRID_SIZE^2 * NUM_MINOR_CYCLES^3),4674.4975
config_sequel_timings,0,0,None,0
config_timings,0,0,None,0
convolution_correction_actor_timings,4,7.26875147381464e-14,max(7.1,+ 0.000081 * GRID_SIZE^2 -0.044889 * GRID_SIZE + 11.900000),79.16
correction_setup_timings,1,0.0,max(0.0,),0.0
correct_to_finegrid_timings,4,9.263907844553324e-13,max(1377.0,+ 0.000034 * NUM_VISIBILITIES + 1254.400000),1613.08
degrid_timings,4,199.89420575262798,max(34.5,-711.494308 + 0.000033 * GRID_SIZE + 2.557768 * NUM_VISIBILITIES^2 -0.000000 * GRID_SIZE^3 -0.002363 * NUM_VISIBILITIES^3 + 0.000001 * GRID_SIZE^2 * NUM_VISIBILITIES^2),119.36399999999998
dft_timings,6,4313.280860029296,max(5181.1,110899.061510 -0.055023 * NUM_MAX_SOURCES -435.915018 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES + 0.000039 * NUM_MAX_SOURCES * NUM_VISIBILITIES^2 + 5.833433 * NUM_MAX_SOURCES * NUM_VISIBILITIES^3 + 0.000000 * NUM_VISIBILITIES^4 -0.038657 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES^3 + 0.000108 * NUM_MAX_SOURCES^5 * NUM_VISIBILITIES -0.000000 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES^4),38609.3675
dgkernel_timings,0,0,None,0
fft_shift_complex_to_complex_actor_timings,4,4.9617306587658845e-14,max(7.9,+ 0.000048 * GRID_SIZE^2 -0.019792 * GRID_SIZE + 6.600000),77.05999999999999
fft_shift_complex_to_real_actor_timings,4,4.9617306587658845e-14,max(7.9,+ 0.000048 * GRID_SIZE^2 -0.019792 * GRID_SIZE + 6.600000),77.05999999999999
fft_shift_real_to_complex_actor_timings,4,4.9617306587658845e-14,max(7.9,+ 0.000048 * GRID_SIZE^2 -0.019792 * GRID_SIZE + 6.600000),77.05999999999999
CUFFT_EXECUTE_FORWARD_C2C_actor_timings,4,4.628426581120142e-12,max(9.6,+ 0.000002 * GRID_SIZE^3 -0.003640 * GRID_SIZE^2 + 2.753109 * GRID_SIZE -686.400000),145.26000000000002
gains_apply_timings,4,1.2964786361918558e-12,max(365.4,+ 0.000194 * NUM_VISIBILITIES -218.700000),1105.28
gkernel_timings,0,0,None,0
dft_gridding_timings,4,148.9701773062411,max(587.3,-155.215165 -0.000106 * GRID_SIZE + 2.517163 * NUM_VISIBILITIES^2 -0.002674 * NUM_VISIBILITIES^3 + 0.000001 * GRID_SIZE^2 * NUM_VISIBILITIES^2),1882.98
std_gridding_timings,4,35.3212238619468,max(26.0,-185.497589 + 0.000086 * GRID_SIZE + 0.127840 * NUM_VISIBILITIES^2 -0.000213 * NUM_VISIBILITIES^3 + 0.000000 * GRID_SIZE^2 * NUM_VISIBILITIES^2),70.768
psf_host_set_up_timings,4,5.416554472308961e-12,max(870.1,-0.000002 * GRID_SIZE^3 + 0.004666 * GRID_SIZE^2 -3.810547 * GRID_SIZE + 1871.100000),916.0600000000001
reciprocal_transform_timings,1,0.0,max(0.0,),0.0
s2s_timings,4,156.83596060137498,max(47.7,-724.319315 + 0.000002 * GRID_SIZE + 2.758838 * NUM_VISIBILITIES^2 -0.002946 * NUM_VISIBILITIES^3 + 0.000001 * GRID_SIZE^2 * NUM_VISIBILITIES^2),97.82799999999999
save_output_timings,4,7.500240868875328e-12,max(182.6,-0.000002 * GRID_SIZE^3 + 0.004680 * GRID_SIZE^2 -3.026025 * GRID_SIZE + 769.200000),1827.0
subtract_from_measurements_timings,4,5.289798593426823e-13,max(364.4,+ 0.000101 * NUM_VISIBILITIES -17.900000),1095.54
subtraction_imagespace_timings,4,2.6140224101993474e-14,max(1.1,-0.000019 * GRID_SIZE^2 + 0.020231 * GRID_SIZE -5.400000),5.720000000000001
visibility_host_setup_timings,4,1.6269535826721328e-12,max(2683.9,+ 0.000043 * NUM_VISIBILITIES + 2590.900000),2869.8
