Actors;x86_f1;
generic_top_flat/delta_psi_1_delta_add_visibilities;4;
generic_top_flat/delta_psi_1_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_1_delta_degridding_kernel_sink;1;
generic_top_flat/delta_psi_1_delta_dft_run_dft_actor;27970;
generic_top_flat/delta_psi_1_delta_gridding_run_gridding_actor;5754;
generic_top_flat/delta_psi_1_delta_ifft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_1_delta_ifft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_1_delta_ifft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_1_delta_image_passthrough;1;
generic_top_flat/delta_psi_1_delta_merge_grids;1;
generic_top_flat/delta_psi_1_delta_psf_sink;1;
generic_top_flat/delta_psi_1_delta_split_vis;1;
generic_top_flat/delta_psi_1_delta_split_uvgrid;1;
generic_top_flat/delta_psi_1_delta_subtraction_run_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_1_delta_subtraction_run_subtraction;14;
generic_top_flat/delta_psi_1_delta_token_sink;1;
generic_top_flat/delta_psi_1_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_1_psi_token_sink;1;
generic_top_flat/delta_psi_1_save_output;7855;

generic_top_flat/delta_psi_2_delta_add_visibilities;4;
generic_top_flat/delta_psi_2_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_2_delta_degridding_kernel_sink;1;
generic_top_flat/delta_psi_2_delta_dft_run_dft_actor;27970;
generic_top_flat/delta_psi_2_delta_gridding_run_gridding_actor;5754;
generic_top_flat/delta_psi_2_delta_ifft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_2_delta_ifft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_2_delta_ifft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_2_delta_image_passthrough;1;
generic_top_flat/delta_psi_2_delta_merge_grids;1;
generic_top_flat/delta_psi_2_delta_psf_sink;1;
generic_top_flat/delta_psi_2_delta_split_vis;1;
generic_top_flat/delta_psi_2_delta_split_uvgrid;1;
generic_top_flat/delta_psi_2_delta_subtraction_run_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_2_delta_subtraction_run_subtraction;14;
generic_top_flat/delta_psi_2_delta_token_sink;1;
generic_top_flat/delta_psi_2_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_2_psi_token_sink;1;
generic_top_flat/delta_psi_2_save_output;7855;

generic_top_flat/delta_psi_3_delta_add_visibilities;4;
generic_top_flat/delta_psi_3_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_3_delta_degridding_kernel_sink;1;
generic_top_flat/delta_psi_3_delta_dft_run_dft_actor;27970;
generic_top_flat/delta_psi_3_delta_gridding_run_gridding_actor;5754;
generic_top_flat/delta_psi_3_delta_ifft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_3_delta_ifft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_3_delta_ifft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_3_delta_image_passthrough;1;
generic_top_flat/delta_psi_3_delta_merge_grids;1;
generic_top_flat/delta_psi_3_delta_psf_sink;1;
generic_top_flat/delta_psi_3_delta_split_vis;1;
generic_top_flat/delta_psi_3_delta_split_uvgrid;1;
generic_top_flat/delta_psi_3_delta_subtraction_run_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_3_delta_subtraction_run_subtraction;14;
generic_top_flat/delta_psi_3_delta_token_sink;1;
generic_top_flat/delta_psi_3_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_3_psi_token_sink;1;
generic_top_flat/delta_psi_3_save_output;7855;

generic_top_flat/delta_psi_4_delta_add_visibilities;4;
generic_top_flat/delta_psi_4_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_4_delta_degridding_kernel_sink;1;
generic_top_flat/delta_psi_4_delta_dft_run_dft_actor;27970;
generic_top_flat/delta_psi_4_delta_gridding_run_gridding_actor;5754;
generic_top_flat/delta_psi_4_delta_ifft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_4_delta_ifft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_4_delta_ifft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_4_delta_image_passthrough;1;
generic_top_flat/delta_psi_4_delta_merge_grids;1;
generic_top_flat/delta_psi_4_delta_psf_sink;1;
generic_top_flat/delta_psi_4_delta_split_vis;1;
generic_top_flat/delta_psi_4_delta_split_uvgrid;1;
generic_top_flat/delta_psi_4_delta_subtraction_run_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_4_delta_subtraction_run_subtraction;14;
generic_top_flat/delta_psi_4_delta_token_sink;1;
generic_top_flat/delta_psi_4_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_4_psi_token_sink;1;
generic_top_flat/delta_psi_4_save_output;7855;

generic_top_flat/delta_psi_delta_add_visibilities;4;
generic_top_flat/delta_psi_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_delta_degridding_kernel_sink;1;
generic_top_flat/delta_psi_delta_dft_run_dft_actor;27970;
generic_top_flat/delta_psi_delta_gridding_run_gridding_actor;5754;
generic_top_flat/delta_psi_delta_ifft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_delta_ifft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_delta_ifft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_delta_image_passthrough;1;
generic_top_flat/delta_psi_delta_merge_grids;1;
generic_top_flat/delta_psi_delta_psf_sink;1;
generic_top_flat/delta_psi_delta_split_vis;1;
generic_top_flat/delta_psi_delta_split_uvgrid;1;
generic_top_flat/delta_psi_delta_subtraction_run_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_delta_subtraction_run_subtraction;14;
generic_top_flat/delta_psi_delta_token_sink;1;
generic_top_flat/delta_psi_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_psi_token_sink;1;
generic_top_flat/delta_psi_save_output;7855;

generic_top_flat/getter_out_image_estimate_d;1;
generic_top_flat/getter_out_num_sources_d;1;
generic_top_flat/getter_out_source_list_d;1;
generic_top_flat/iterator;1;
generic_top_flat/setter_in_image_estimate_d;1;
generic_top_flat/setter_in_num_sources_d;1;
generic_top_flat/setter_in_source_list_d;1;
generic_top_flat/setup_ri_pipeline_clean_psf_set_up;1;
generic_top_flat/setup_ri_pipeline_config_struct_set_up;1;
generic_top_flat/setup_ri_pipeline_config_struct_set_up_sequel;1;
generic_top_flat/setup_ri_pipeline_correction_set_up;1;
generic_top_flat/setup_ri_pipeline_degridding_kernel_host_set_up;58;
generic_top_flat/setup_ri_pipeline_gains_host_set_up;55;
generic_top_flat/setup_ri_pipeline_kernel_host_set_up;53;
generic_top_flat/setup_ri_pipeline_psf_host_set_up;1;
generic_top_flat/setup_ri_pipeline_visibility_host_set_up;4073;















