Actors;x86_f1;
generic_top_flat/delta_psi_1_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_1_delta_correct_to_finegrid_apply_gains;547;
generic_top_flat/delta_psi_1_delta_correct_to_finegrid_correct_to_finegrid;92;
generic_top_flat/delta_psi_1_delta_correct_to_finegrid_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_1_delta_fft_degrid;4503;
generic_top_flat/delta_psi_1_delta_fft_run_CUFFT_EXECUTE_FORWARD_C2C_actor;425;
generic_top_flat/delta_psi_1_delta_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_1_delta_fft_run_fft_shift_real_to_complex_actor;1;
generic_top_flat/delta_psi_1_delta_grid;4544;
generic_top_flat/delta_psi_1_delta_inverse_conv_correction;285;
generic_top_flat/delta_psi_1_delta_inverse_fft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_1_delta_inverse_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_1_delta_inverse_fft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_1_delta_merge_grids;1;
generic_top_flat/delta_psi_1_delta_psf_sink;1;
generic_top_flat/delta_psi_1_delta_source_list_sink;1;
generic_top_flat/delta_psi_1_delta_split_vis;1;
generic_top_flat/delta_psi_1_delta_split_uvgrid;1;
generic_top_flat/delta_psi_1_delta_subtract_from_measurements_finegrid;4;
generic_top_flat/delta_psi_1_delta_token_sink;1;
generic_top_flat/delta_psi_1_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_1_psi_token_sink;1;
generic_top_flat/delta_psi_1_save_output;7855;

generic_top_flat/delta_psi_2_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_2_delta_correct_to_finegrid_apply_gains;547;
generic_top_flat/delta_psi_2_delta_correct_to_finegrid_correct_to_finegrid;92;
generic_top_flat/delta_psi_2_delta_correct_to_finegrid_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_2_delta_fft_degrid;4503;
generic_top_flat/delta_psi_2_delta_fft_run_CUFFT_EXECUTE_FORWARD_C2C_actor;425;
generic_top_flat/delta_psi_2_delta_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_2_delta_fft_run_fft_shift_real_to_complex_actor;1;
generic_top_flat/delta_psi_2_delta_grid;4544;
generic_top_flat/delta_psi_2_delta_inverse_conv_correction;285;
generic_top_flat/delta_psi_2_delta_inverse_fft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_2_delta_inverse_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_2_delta_inverse_fft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_2_delta_merge_grids;1;
generic_top_flat/delta_psi_2_delta_psf_sink;1;
generic_top_flat/delta_psi_2_delta_source_list_sink;1;
generic_top_flat/delta_psi_2_delta_split_vis;1;
generic_top_flat/delta_psi_2_delta_split_uvgrid;1;
generic_top_flat/delta_psi_2_delta_subtract_from_measurements_finegrid;4;
generic_top_flat/delta_psi_2_delta_token_sink;1;
generic_top_flat/delta_psi_2_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_2_psi_token_sink;1;
generic_top_flat/delta_psi_2_save_output;7855;

generic_top_flat/delta_psi_3_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_3_delta_correct_to_finegrid_apply_gains;547;
generic_top_flat/delta_psi_3_delta_correct_to_finegrid_correct_to_finegrid;92;
generic_top_flat/delta_psi_3_delta_correct_to_finegrid_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_3_delta_fft_degrid;4503;
generic_top_flat/delta_psi_3_delta_fft_run_CUFFT_EXECUTE_FORWARD_C2C_actor;425;
generic_top_flat/delta_psi_3_delta_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_3_delta_fft_run_fft_shift_real_to_complex_actor;1;
generic_top_flat/delta_psi_3_delta_grid;4544;
generic_top_flat/delta_psi_3_delta_inverse_conv_correction;285;
generic_top_flat/delta_psi_3_delta_inverse_fft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_3_delta_inverse_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_3_delta_inverse_fft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_3_delta_merge_grids;1;
generic_top_flat/delta_psi_3_delta_psf_sink;1;
generic_top_flat/delta_psi_3_delta_source_list_sink;1;
generic_top_flat/delta_psi_3_delta_split_vis;1;
generic_top_flat/delta_psi_3_delta_split_uvgrid;1;
generic_top_flat/delta_psi_3_delta_subtract_from_measurements_finegrid;4;
generic_top_flat/delta_psi_3_delta_token_sink;1;
generic_top_flat/delta_psi_3_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_3_psi_token_sink;1;
generic_top_flat/delta_psi_3_save_output;7855;

generic_top_flat/delta_psi_4_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_4_delta_correct_to_finegrid_apply_gains;547;
generic_top_flat/delta_psi_4_delta_correct_to_finegrid_correct_to_finegrid;92;
generic_top_flat/delta_psi_4_delta_correct_to_finegrid_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_4_delta_fft_degrid;4503;
generic_top_flat/delta_psi_4_delta_fft_run_CUFFT_EXECUTE_FORWARD_C2C_actor;425;
generic_top_flat/delta_psi_4_delta_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_4_delta_fft_run_fft_shift_real_to_complex_actor;1;
generic_top_flat/delta_psi_4_delta_grid;4544;
generic_top_flat/delta_psi_4_delta_inverse_conv_correction;285;
generic_top_flat/delta_psi_4_delta_inverse_fft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_4_delta_inverse_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_4_delta_inverse_fft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_4_delta_merge_grids;1;
generic_top_flat/delta_psi_4_delta_psf_sink;1;
generic_top_flat/delta_psi_4_delta_source_list_sink;1;
generic_top_flat/delta_psi_4_delta_split_vis;1;
generic_top_flat/delta_psi_4_delta_split_uvgrid;1;
generic_top_flat/delta_psi_4_delta_subtract_from_measurements_finegrid;4;
generic_top_flat/delta_psi_4_delta_token_sink;1;
generic_top_flat/delta_psi_4_psi_hogbom_clean;12906;
generic_top_flat/delta_psi_4_psi_token_sink;1;
generic_top_flat/delta_psi_4_save_output;7855;

generic_top_flat/delta_psi_delta_convolution_correction_run_execute_convolution_correction_actor;285;
generic_top_flat/delta_psi_delta_correct_to_finegrid_apply_gains;547;
generic_top_flat/delta_psi_delta_correct_to_finegrid_correct_to_finegrid;92;
generic_top_flat/delta_psi_delta_correct_to_finegrid_reciprocal_transform_actor;1;
generic_top_flat/delta_psi_delta_fft_degrid;4503;
generic_top_flat/delta_psi_delta_fft_run_CUFFT_EXECUTE_FORWARD_C2C_actor;425;
generic_top_flat/delta_psi_delta_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_delta_fft_run_fft_shift_real_to_complex_actor;1;
generic_top_flat/delta_psi_delta_grid;4544;
generic_top_flat/delta_psi_delta_inverse_conv_correction;285;
generic_top_flat/delta_psi_delta_inverse_fft_run_CUFFT_EXECUTE_INVERSE_C2C_actor;425;
generic_top_flat/delta_psi_delta_inverse_fft_run_fft_shift_complex_to_complex_actor;1;
generic_top_flat/delta_psi_delta_inverse_fft_run_fft_shift_complex_to_real_actor;1;
generic_top_flat/delta_psi_delta_merge_grids;1;
generic_top_flat/delta_psi_delta_psf_sink;1;
generic_top_flat/delta_psi_delta_source_list_sink;1;
generic_top_flat/delta_psi_delta_split_vis;1;
